# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,Dairy101,Dairy102,Dairy103,Dairy104,Dairy105,Dairy106,Dairy107,Dairy108,Dairy109,Dairy110,Dairy111,Dairy112,Dairy113,Dairy114,Dairy115,Dairy116,Dairy117,Dairy118,Dairy119,Dairy120,Dairy121,Dairy122,Dairy123,Dairy124,Dairy125,Dairy126,Dairy127,Dairy128,Dairy129,Dairy130,Dairy131,Dairy132,Dairy133,Dairy134,Dairy135,Dairy136,Dairy137,Dairy138,Dairy139,Dairy140,Dairy141,Dairy142,Dairy143,Dairy144,Dairy145,Dairy146,Dairy147,Dairy148,Dairy149,Dairy150,Dairy151,Dairy152,Dairy153,Dairy154,Dairy155,Dairy156,Dairy157,Dairy158,Dairy159,Dairy160,Dairy161,Dairy162,Dairy163,Dairy164,Dairy165,Dairy166,Dairy167,Dairy168,Dairy169,Dairy170,Dairy171,Dairy172,Dairy173,Dairy174,Dairy175,Dairy176,Dairy177,Dairy178,Dairy179,Dairy180,Dairy181,Dairy182,Dairy183,Dairy184,Dairy185,Dairy186,Dairy187,Dairy188,Dairy189,Dairy190,Dairy191,Dairy192,Dairy193,Dairy194,Dairy195,Dairy196,Dairy197,Dairy198,Dairy199,Dairy200,Dairy201,Dairy202,Dairy203
ASV7449,4333,6864,18726,15411,25987,688,875,9688,2540,150,768,8727,12519,20625,6713,5831,6982,4644,2418,15408,562,5833,855,1796,10590,1767,5036,24256,25179,13011,18199,13007,11487,9128,35922,13595,19045,6720,48867,24763,812,3348,0,21586,5665,10971,1798,16,112,13568,2792,0,628,2605,1735,18404,3518,1708,8433,306,5234,14048,2123,15,2667,2271,41720,1426,4943,6845,5606,10333,23,39508,25696,30144,593,962,241,65,527,13044,3600,6789,8568,2649,4731,4170,983,6615,16174,7748,8166,2169,1324,1777,6300,6090,5077,3774,6022,10218,9067
ASV308,3647,596,2376,1941,1465,119,6638,2060,46,1775,2188,747,2217,2192,5607,1116,3931,2626,422,1724,4456,1561,1819,5717,3024,22260,7170,8245,688,2469,10332,15013,1802,4330,3388,5024,1355,6402,1946,3621,600,10554,136,4374,70,9284,2330,0,8540,17198,195,833,451,1810,5059,3552,3216,286,171,570,668,9178,26646,118,27349,1937,4736,2026,7489,2722,38871,17799,13,5865,14572,10682,431,9149,42,364,432,3664,6690,4367,4372,3492,3086,3115,18434,11020,1999,2363,2231,10297,1373,7229,7115,2455,3104,2117,4958,5364,5373
ASV11665,2534,0,29,0,0,17,0,0,0,49,4,0,9,0,0,0,0,0,588,0,14,0,0,0,0,0,8,0,0,18,4,3,36,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,0,0,0,0,282,35,0,0,0,0,3,0,0,0,0,1338,534,529,170,1100,0,736,585,56,209,1926,35,289,0,0,0,0,0,3675,3256,65,0,0,0,105,0,0
ASV3128,706,0,17,0,72,4315,0,0,0,8,1312,0,58,157,0,0,0,5633,0,457,1236,3,0,0,0,0,2266,0,0,6,0,0,1378,10,84,0,3126,0,326,3681,4,327,0,38,0,0,307,0,0,0,0,0,4158,34710,0,8550,3,49,0,0,20,0,0,15240,0,916,2540,40674,0,68,4,0,0,0,432,39,562,374,0,0,358,0,39,116,36,91,0,0,78,0,0,0,0,0,20,101,58,68,102,31,140,8,0
ASV3981,1286,0,12,0,1012,3290,0,0,4491,0,16,0,0,0,1494,0,0,13337,0,0,927,0,88,0,0,0,492,2149,0,0,0,0,22,0,0,0,0,0,662,468,1663,0,0,0,1031,0,508,0,0,0,0,0,3407,0,6459,0,0,0,0,0,0,0,0,0,0,28,0,0,523,250,0,0,0,0,0,0,1136,305,112,311,931,0,285,443,0,269,0,0,95,0,0,0,0,0,783,106,0,0,0,0,124,0,0
ASV10586,1993,3293,2518,534,1798,301,6749,26233,162,75,2179,1154,3247,10038,6423,828,7173,1323,377,7164,9466,101,1642,2546,2083,340,1973,7746,1189,4195,510,902,889,1894,5045,782,2376,1333,689,2302,157,1617,0,25611,510,1591,401,0,0,2185,15,0,302,5293,905,1687,752,381,4111,46,271,5788,779,139,3966,2272,21094,1448,2461,5325,2089,7662,0,7327,4503,7153,126,169,5,91,65,1881,826,1098,1312,997,1499,897,178,2049,714,476,655,1530,3056,406,3072,1238,1184,808,1085,2013,1408
ASV8609,241,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,2852,0,0,0,0,0,0,0,0,0,0,21,0,0,44,0,714,0,0,0,0,0,0,0,0,0,0,84,611,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,28,196,56,13,0,112,15,15,28,38,50,0,0,33,0,0,0,0,0,0,0,39,309,1088,47,295,364,233
ASV5465,0,0,0,0,0,11,0,0,0,0,51,0,4,0,0,0,0,0,0,8,13,0,0,10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,52,0,0,0,6,0,0,0,0,0,5,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,16,0,0,6,0,0,0,0,0,0,0,0
ASV630,142,0,971,0,2535,0,0,0,0,0,14597,0,505,27,0,0,0,3732,12294,0,18,18,0,44,0,0,0,0,40,0,12,98,246,0,848,0,4138,0,32,0,11,0,0,38,0,0,220,0,0,42,0,0,0,11733,0,82,17917,28570,0,17,18720,3841,0,1102,0,38535,133,0,27,0,0,0,0,0,0,0,170,136,0,0,112,0,47,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
ASV8571,36,47,340,945,4650,213,7,40,421,0,8,405,1253,1700,11,145,319,45,85,2505,36,265,333,79,342,78,325,687,15,319,221,989,318,214,96,36,211,161,367,750,69,64,0,11191,594,83,87,0,0,3294,162,0,7,61,19,75,268,50,576,0,47,444,114,0,0,31,1715,57,193,259,206,623,0,2006,756,1238,0,0,0,0,24,498,66,156,270,46,82,579,516,340,108,519,245,479,29,72,577,123,87,23,45,432,163
ASV5595,880,61,601,4708,347,11,276,76,47,374,105,164,220,261,1086,215,53,132,16,186,132,289,76,718,481,1093,338,543,0,1565,281,1618,111,157,274,155,139,265,228,388,334,122,0,245,33,338,276,0,243,280,27,25,14,85,657,171,204,69,25,26,22,460,1873,36,101,161,415,285,928,177,1918,186,0,386,1123,1235,411,60,0,0,385,360,242,273,270,226,928,1709,602,0,302,45,54,154,84,57,110,213,334,124,296,210,360
ASV6341,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,24,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV203,480,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,489,61,0,0,386,0,29,113,32,65,0,0,54,0,0,0,0,0,0,0,0,0,0,0,74,0,0
ASV6991,54,18,0,0,0,78,783,0,23,0,1358,32,56,0,0,0,0,103,0,33,0,215,0,0,0,85,320,9,0,27,0,0,280,0,14,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,64,96,9,270,67,0,0,0,0,34,0,72,0,0,47,8590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0
ASV2138,144,134,6,216,0,70,103,77,270,185,136,12,17,11,101,165,0,116,28,58,159,39,160,71,21,804,60,5,15,25,953,0,33,0,251,73,5,270,27,19,28,56,812,57,137,419,19,0,133,48,57,155,69,695,151,87,210,83,0,441,19,203,125,228,276,392,243,150,194,484,125,49,0,334,34,95,266,334,561,390,141,46,77,107,17,273,18,42,58,208,0,23,0,0,25,76,11,0,0,0,71,0,0
